lampung,indo
lamun kak dinasihatei dang diulangei kupek ya,kalau sudah dinasehati jangan diulangi lagi ya
tulung dijjuk pandai dang ngakuk jambeu kupek,tolong dinasehati jangan mengambil jambu lagi
celano sai kak kenno pilok mak dapek dinaghtei kupek,celana yang sudah kena pilok tidak bisa dihilangkan lagi
nyokah gitteh dapek dinaghat ko jamo oli?,apakah getah bisa dihilangkan dengan oli ?
kiyai belei mei padang peghes karit no 2,kiyai membeli nasi padang pedas berkaret dua
wau hp no kak dikaritei ino dilembireu,wau hpnya sudah berkaret itu di lembiru
kaban sanak unggal tukuk jbat pungeu jamo gureu sai piket,murid-murid setiap pagi saling jabat tangan dengan guru piket
unggal gham tumbuk jamo serundo gham saling jabat pungeu,setiap kita bertemu dengan teman saling jabat tangan
dilem acaro mulei meghanai wat pattun setimbalan,dalam acara gadis dan bujang ada lagu bersahutan
tebak nyo wat pattun setimbalan,tebak apa ada pantun bersahutan
SMP 2 jamo SMP 1 wakteu karnaval lapah saling seiringan,smp 2 dengan smp 1 waktu karnaval jalan saling beriringan
pengantin ragah jamo sebai diarak seighingan ,penganten pria dengan wanita diarak beriringan
mulai dawah ijo gham wo jdei sabai,mulai hari ini kita berdua besanan
ikam jamo aminah sabayan anjak wo bulan selikut,saya dengan aminah besanan sejak dua bulan yang lalu
lamun ragah mandei dibarisan ragah,jika pria mandi di pangkalan pria
lamun sebai mandei dibarisan sebai,jika gadis mandi di pangkalan gadis
duit adik naghat dippik dilemarei,duit adik hilang diletakkan diselipan lemari
po sai dapek ngakuk duit adik dilem lemarei?,siapa yang dapat mengambil duit adik diselipan lemari ?
wo keluarga ino kak beserah dilem pernikahan anak no,kedua keluarga itu sudah sangat berserah di dalam pernikahan anaknya
bus jamo truk setumburan jinno tukuk ,bus dan truk itu bertabrakan tadi pagi
selamo ijo hasnah jamo husin Cuma masso kiriman surat gaweh,selama ini hasnah dan husin hanya dapat kiriman surat saja
assalamualaikum,assalamualaikum
waalaikumsalam,waalaikumsalam
selamat tukkuk sanak-sanak,selamat pagi anak-anak
selamat tukkuk,selamat pagi
selamat tukkuk amin,selamat pagi amin
gelaghkeu hasan,namaku hasan
namo sekam apo?,siapa namamu ?
sanak-sanak ijo bu gureu,anak-anak ini bu guru
gelaghno ibu hadijah,namanya ibu hadijah
gelaghkeu amin,namaku amin
kenalei ijo hasnah,kenalkan ini asnah
dik ino jamo abang,dek itu kawan abang
gelaghno arman,namanya arman
nyo kabar ? Wawai,apa kabar ? baik
nyo kabar ? Wawai,apa kabar ? baik
dak sekulah,ke sekolah
ijo gambar ilham jamo imah,ini gambar ilham dan imah
ilham abang no imah,ilham abang nya imah
imah adik no ilham,imah adik nya ilham
ilham ghadeu sekulah,ilham sudah sekolah
iyo appay kelas sateu,dia baru kelas satu
iyo belajagh bahaso lappung,dia belajar bahasa lampung
nulis jamo ngebaco aksara lappung,menulis dan membaca aksara lampung
keluargo ilham,keluarga ilham
gelagkeu ilham,namaku ilham
adikkeu gelaghno hilda,adikku namanya hilda
bapakeu gelaghno rahmanni,bapakku namanya rahmanni
induikeu gelaghno rohila,ibuku namanya rohila
siteikeu gelaghno syamsiah,nenekku namanya syamsiah
sidei gelaghno soleh,kakekku namanya soleh
apo gelaghno uluh tuho ilham?,siapa namanya orang tua ilham ?
apo gelaghno bapakno ilham?,siapa nama bapaknya ilham ?
apo sideino hilda jamo ilham?,siapa kakeknya hilda dan ilham ?
apo siteino hilda jamo ilham?,siapa neneknya hilda dan ilham ?
ngejalo punyeu,menjaring ikan
ilham ngemik kulam,ilham punya kolam
isei no nayah macem punyeu,isi nya banyak macam ikan
ilham ngejuk kanen punyeu unggal debei,ilham memberi makanan ikan setiap sore
bapak ghisek ngejalo di kulam,bapak sering menjaring di kolam
punyeu si balak di gulai,ikan yang besar digulai
punyeu si lunik dilucukke kupek,ikan yang kecil dilepaskan lagi
gham mengan cappur punyeu,kami makan campur ikan
sekulah gham,sekolah kita
gedungno balak,gedung nya besar
murid no nayah,murid nya banyak
ghajin belajagh,rajin belajar
wat latihan pramuka,ada latihan pramuka
wat kegiatan uks,ada kegiatan uks
gham ngejago kebersihan sekulah,kita menjaga bersihnya sekolah
suttik imunisasi,suntikan imunisasi
di kelas sateu munih kelas enem wat suttik imunisasi,di kelas satu juga kelas enam ada suntikan imunisasi
cawo gureu sanak-sanak dang ghabai,berkata guru anak-anak jangan takut
sanak disuttik imunisasei tagen sihat,anak disuntik imunisasi agar sehat
badan gham mak tunaikenno penyakik ,badan kita tidak mudah kena peikamit
tian disuttik diruang uks,mereka disuntik di ruang uks
pigho pinsil sai wat dikutak numur sateu,berapa pensil yang ada di kotak nomor satu
ijo wat limo pinsil,ini ada lima pensil
"pigho puttik,kibau,berrei si wat di lem gambar?","berapa burung , kerbau , itik yang ada di dalam gambar ?"
"ino wat tigo putik, epak kibau, limo berei","itu ada tiga burung , empat kerbau , lima itik"
pigho kawai andak sai wat dikutak numur duo?,berapa baju putih yang ada di kotak nomor dua ?
ijo wat piteu kawai andak,ini ada tujuh baju putih
pigho celano suluh sai wat dikutak numur tigo?,berapa celana merah yang ada di kotak nomor tiga ?
ijo wat tigo celano suluh,ini ada tiga celana merah
pigho sepateu agheng sai dikutak numur pak?,berapa sepatu hitam yang ada di kotak nomor empat ?
ijo wat pak sepateu agheng,ini ada empat sepatu hitam
pigho kaus caluk andak sai way dikutak numur limo?,berapa kaus kaki putih yang ada di kotak nomor lima ?
ijo wat limo kaus caluk andak,ini ada lima kaus kaki putih
pigho tupei suluh sai wat dikutak numur enem?,berapa topi merah yang ada di kotak nomor enam ?
ojo wat nem tupei suluh,ini ada enam topi merah
pigho kawai sekulah sai wat dikutak numur piteu?,berapa baju sekolah yang ada di kotak nomor tujuh ?
ijo wat piteu kawai sekulah,ini ada tujuh baju sekolah
pigho kawai pramuka sai wat dikutak numur waleu?,berapa baju pramuka yang ada di kotak nomor delapan ?
ijo wat waleu kawai pramuka,ini ada delapan baju pramuka
pigho kawai cuklat si wat di kutak numur sembilan?,berapa baju cokelat yang ada di kotak nomor sembilan ?
ijo wat siwo kawai cuklat,ini ada sembilan baju cokelat
pigho kawai cuklat si wat di kutak numur sepuluh?,berapa baju cokelat yang ada di kotak nomor sepuluh ?
ijo wat siwo kawai cuklat,ini ada sembilan baju cokelat
way kambas,way kambas
liburan sekulah selikut sai mider dak way kambas,liburan sekolah yang lalu saya berjalan-jalan ke taman way kambas
pemandanan no wawai temen setijjang ghang layo,pemandangannya indah sekali sepanjang jalan
disan ikam ngenah macem2 lakeu gajah,disana saya melihat bermacam-macam tingkah gajah
"wat gajah mayen bola, narei, serto sai lapah caluk wat wo","ada gajah bermain bola , menari , serta berjalan kaki dua"
unggal harei minggeu wat sai megegh ago nuttun lakeu gajah,setiap hari minggu ramai yang datang mau menonton tingkah gajah itu
nayah gajah sai wat dikambas,banyak gajah di taman way kambas
wat penampilan tarei gajah,ada pertunjukan tari gajah
unggal harei minggeu nayah jimmo di way kambas,setiap hari minggu ramai masyarakat di taman way kambas
gajah pitter mayen bola makai wo caluk,gajah pintar bermain bola dengan berjalan kaki dua
gham dak way kambas cakak bus,kita ke way kambas naik bus
indah temen pemandangan danau ranau,indah nya pemandangan danau ranau
wat gajah sekulah di way kambas,ada gajah sekolah di way kambas
wat way terjun di way lalaan,ada air terjun di way lalaan
di taman wat kembang mawar,di taman ada bunga kambang mawar
gajah kalah ngelawan seghem,gajah kalah melawan semut
gajah narei makai caluk no,gajah menari menggunakan kaki nya
calukno diikek rattai,kakinya diikat rantai
ikam ago mulang,saya mau pulang
"keminan,ikam ago mulang","bibi , saya mau pulang"
ulah bak nikeu mak sekulah berubei,mengapa kamu tidak sekolah kemarin ?
dughian ghgak,durian jatuh
pak ajei yusuf meneng di dusun,pak haji yusuf tinggal di dusun
yo ngemik sawah jamo kebun buah buahan,dia punya sawah dan kebun buah-buahan
"wat dughian, jambeu, jamo limo, mangga","ada durian , jambu , limau , dan mangga"
sawah jamo umbul no beghak,sawah dan ladang nya luas
tukuk ijo tiyan dak kebun nigheu deghian ghegak,pagi ini mereka ke kebun mencari durian jatuh
upo no dughian kak tasak diunggak batang,rupanya durian sudah matang di pohon
bang wat tigo deghian ghgak cawo bu hajjah fatimah,bang ! ada tiga durian jatuh kata bu hajah fatimah
bu hajjah fatimah majeu no ajei yusuf,bu hajah fatimah istrinya haji yusuf
"bo dakjo, timah, kayun ajei yusuf","bawa kesini , timah ! suruh haji yusuf"
ajei yusuf nigheu dughian sai baghih,haji yusuf mencari durian yang lain
tiyan masso 20 dughian,mereka dapat dua puluh durian
tiyan sai paling ghayo,dia orang yang paling kaya
najin gehinno tiyan mak sumbung,walau begitu dia tidak sombong
yo rajin kerjo jamo mak luppo beduo jamo sai kuaso,dia rajin bekerja dan tidak lupa berdoa sama tuhan yang kuasa
dikeddo nuwo no ajei yusuf?,dimana rumah nya haji yusuf ?
nyo cawo majeu ajei yusuf?,apa kata istrinya haji yusuf ?
nyo gaweh sai ditanem di kebun?,apa saja yang ditanam di kebun ?
dak keddo tiyan tukuk ijo?,ke mana mereka pagi ini ?
pigho dughian sai masso ditigheu tiyan?,berapa puluh durian yang dapat di cari mereka ?
abang macul disawah,abang mencangkul sawah
adik nanem ubi kayeu,adik menanam ubi kayu
ahmad ngelubangei umo,ahmad melobangi ladang
ngegalei ngegunoke linggis,menggali menggunakan linggis
batang kelapo dikebun,pohon kelapa di kebun
mengan jamo nginum,makan dan minum
gham perleu mengan jamo nginum,kita perlu makan dan minum
unggal panas gham mengan tigo kalei,setiap hari kita makan tiga kali
"kanen asal no anjak bijei bijian, buah buahan, jamo binatang","makanan asalnya dari biji-bijian , buah-buahan , dan binatang"
nginuman asal no anjak wai dan wai buah buahan misal no sirup nanas,minuman asalnya dari air dan air buah-buahan misal nya sirop nanas
kanen jamo nginuman jinno perleu tagen badan gham dapek sihat jamo wat tenago,makanan dan minuman tadi perlu supaya badan dapat sehat dan bertenaga
sakik betteng,sakit perut
amir mak sekulah ummi,amir tidak sekolah ummi
yo mising jugo abi,dia buang air besar terus abi
adui mak sakik betteng ikam,wui ibu sakit perutku !
nikeu kenayahan mengan rujak amir,kamu kebanyakan makan rujak amir
ummei juk gaweh ubat uralit,ummi beri saja obat oralit
kak ghadeu abi nyo mak dak dukter,sudah abi apa tidak ke dokter ?
dang dak dukter ummi?,jangan ke dokter ummi
ikam ghabai suttik ,saya takut suntik
sudah amir layen wakteu gaweh dang ghisek mengan peghes ya,sudah amir lain kali jangan terlalu makan pedas ya
"ijo pak amir resep ubat nya, terimo kasih dukter","ini pak amir resep obatnya , terima kasih dokter"
dak pasar,ke pasar
ilham dibbo mak no dak pasar,ilham dibawa ibunya ke pasar
ilham andel temen,ilham gembira sekali
tiyan cakak mubil dak pasar,mereka naik mobil ke pasar
nayah pedagang jamo sai belei dipasr,ramai pedagang dan pembeli di pasar
pedagang menjajakan jualan no,pedagang menjajakan dagangannya
sai ago nebelei nawar igo barang sai ago dibelei no,yang mau membeli menawar harga barang yang mau dibelinya
mak ilham ngebelei lalap lalapan jamo kanen,ibu ilham membeli lalap-lalapan dan makanan rebusan
mak ilham ngebelei keperluan dapur sai baghih ,ibu ilham membeli keperluan dapur yang lain
ilham dibeleiko mak no gurauan ,ilham dibelikan ibunya mobil-mobilan
di bandar lappung wat hutil bebintang,di bandar lampung ada hotel berbintang
di lappung selatan wat pantai merak beletung sai wawai,di lampung selatan ada pantai merak belantung yang indah
di lappung barat wat danau ranau yng indah nyeghilak,di lampung barat ada danau ranau yang indah berkilau
dilappung timur wat way kambas,di lampung timur ada taman way kambas
di lappung utara wat wai rerem,di ampung utara ada bendungan way rarem
nayah peninggalan anjak musium jaman ho di pamir ko,banyak peninggalan dari musium jaman dahulu dipamerkan
farida lagei nyo sekam?,farida sedang apa kamu ?
lagei ngitung buah congklak,sedang menghitung buah dakon
ago mayen congklak tuti,mau main dakon tuti ?
anying ikam dak warung pai ida,tetapi saya ke warung dulu ida
ago belei nyo tuti,mau membeli apa tuti ?
ago belei pinsil,mau membeli pinsil
lapah sekam attak ko ikam  dak warung ida,ayo kamu antarkan saya ke warung ida
"lapah gham jamo jamo, ikam munih ago belei permin","ayo kita sama-sama , saya juga mau membeli permen"
apo sai ngitung buah congklak?,siapa yang menghitung buah dakon ?
apo gelagh serundo ida?,siapa nama temannya farida ?
farida ngajak tuti mayen nyo?,farida mengajak tuti bermain apa ?
sekam nyo kabar?,kamu apa kabar ?
sekam ago dak keddo?,tuan mau ke mana ?
keminan ago dak kedo?,bibi mau ke mana ?
ikam ago lapah dak kattur pkk,saya mau pergi ke kantor pkk
sekam ago dak keddo basri,kamu dari mana basri ?
ikam anjak belajagh,saya dari belajar
sekam ago dak keddo pak,tuan mau ke mana pak
ikam ago dak nuwo no kepala sekulah,saya mau ke rumah nya pak kepala sekolah
metik jaggung,memetik jagung
pak ajei yusuf dak kebun no tukuk tukuk,pak aji yusuf ke kebun nya pagi-pagi buta
yo ago mettik jagung di umbul no,dia mau memetik jagung di ladang nya
jagung sai ditanem tigo bulan,jagung yang ditanam tiga bulan yang lampau sekarang sudah tua
jagung no balak balak jamo tijang tijjang ,jagung nya besar-besar dan panjang-panjang
sungguh ulah iyo rajin ngejuk pupuk jamo rajin ngawas,sungguh karena dia rajin memberi pupuk dan rajin menjenguk
nayah keluarga paghek sai megegh dak umbul,ramai famili-terdekat yang datang ke ladang
tiyan ago nulung ,mereka mau menolong
kak jadei adat anjak jaman ho yak ino adat saling tulung menulung,sudah jadi adat dari jaman dahulu yaitu adat tolong menolong
ulahbak ajei yusuf dak arah umbultukuk tukuk temen?,kenapa aji yusuf kearah ladang pagi-pagi benar ?
umur pigho bulan taneman jagung dapek dipanin,umur berapa bulan tanaman jagung boleh dipanen ?
"ulahbak jagung no, pak ajei yusuf balak balak jamo tijang tijjang?",kenapa jagung nya pak haji yusuf besar-besar dan panjang-panjang ?
apo sai nulung ajei yusuf nanem jagung?,siapa yang menolong haji yusuf menanam jagung ?
nyo penyebutan kebiasaan gutung ruyung sai kak jadei adat jimmo lappung?,apa penyebutannya kebiasaan gotong royong yang sudah jadi adatnya orang lampung ?
petanei nanem paghei di umbul,petani menanam padi di ladang
karim ngewawai ko umbul no,karim memperbaiki ladang nya
hamdan merumput paghei disawah ,hamdan merumput padi di sawah
sanusei ngegalei taneh makai pacul,sanusi menggali tanah memakai cangkul
herman nanem paghei di umbul,herman menanam padi di ladang
unggal panas isman menyiram kebun,tiap sore isman menyiram kebun
nukman ngelubangei taneh pakai nanem jagung,nukman melobangi tanah buat menanam jagung
musim bebuah,musim berbuah
didusun nayah buah buahan ,di dusun banyak buah-buahan
"wat batang ghukeu, limau, jambeu jamo rambutan","ada batang duku , limau , jambu dan rambutan"
"wat munih batang mangga, benaso jamo deghian","ada juga batang mangga , nangka dan durian"
nayah jimo kota si megegh dak anek,banyak orang kota yang datang ke dusun
tiyan ago nigheu buah-buahan ino,mereka mau mencari buah-buahan itu
adik lagei mandi,adik sedang mandi
budi miyanei wati,budi kakak wati
buyah di sawah,bapak di sawah
mak dak pasak,ibu ke pasar
sidei lagey mejjeng,kakek sedang duduk
sitei ago lapah,nenek mau pergi
sitei ago miwang,nenek mau menangis
sekam ago dak kedo?,kamu mau ke mana ?
sekam ago dak kedo?,tuan mau ke mana ?
sekam anjak kedo?,kamu dari mana ?
sekam anjak kedo?,tuan dari mana ?
dikedo nuwo meu?,dimana rumahmu ?
dikedo nuwo sekam?,dimana rumah tuan ?
sekam ago dak kedo?,kamu mau ke mana ?
ago dak sekulah,mau ke sekolah
sekam anjak kedo?,kamu dari mana ?
anjak nuwo,dari rumah
dikedo nuwomeu?,dimana rumahmu ?
di anek bareu,di kampung baru
ago dak kedo sekam?,mau ke mana tuan ?
ago dak kattur,mau ke kantor
anjak kedo sekam?,dari mana tuan ?
anjak taneh sucei,dari tanah suci
sekam dikedo nuwomeu?,tuan mana rumahmu ?
di rt 1 anek bareu,di rt 1 kampung baru
anjak ngelapahke hajei,dari menunaikan ibadah haji
sidei lagey nyerito,kakek sedang bercerita
sidei lagey tuyun,kakek sedang lari
sittei ago nyirih,nenek mau menyirih
mak belanjo dak pasar,ibu belanja ke pasar
bapak lagey nanem paghei di sawah,bapak menanam padi di sawah
adik lagey mandei ulah ago sekulah,adik lagi mandi karena mau sekolah
sekam anjak kedo?,kamu dari mana ?
anjak jakarta,dari jakarta
adik lagey mandei ulah ago sekulah,adik sedang mandi karena mau sekolah
huruf ijo dibaco,huruf ini dibaca
gham harus patuh bapak ibu gureu supayo mak nyesel di dunio neen,kita harus patuh bapak ibu guru supaya tidak menyesal di dunia nanti
gham harus belajagh sewawai-wawaino supayo jadi jimo si beguno,kita harus belajar sebaik-baiknya supaya menjadi orang berguna
si biaso gham apresiasi iyolah karya seni,yang biasa kita apresiasi ialah karya seni
gham jadei siswa siap ngejalenei amanat lageu ino,sebagai siswa kita siap menjalani amanat lagu itu
cawo siti jamo jamono ratna,berkata siti sama temannya ratna
lulih ali jamo gureuno,tanya ali sama gurunya
di lem lingkungan keluargo mik bapak jamo mak,di dalam lingkungan keluarga ada papa dan mama
wat munih sidei jamo sittei,ada juga kakek dan nenek
selain anjak ino wat kakak jamo adik si ngerupakan pelengkap di lem keluargo,lain dari itu ada kakak dan adik yang merupakan pelengkap di lingkungan keluarga
"bapak jamo mak wajib ngerusei sidei jamo sitei si kak tuho,lemeh jamo ghisek maghing ino","papa dan mama wajib mengurusi kakek dan nenek yang sudah tua , lemah dan sering sakit itu"
kakak jamo adik semestino ngebanteu bapak jamo mak sebagai tando baktei jamo ulun tuho,kakak dan adik semestinya membantu papa dan mama sebagai tanda bakti kepada orang tua
lamun ditulis jamo aksaro lappung judul bacoan ino iyolah,jika ditulis sama aksara lampung judul bacaan itu adalah
pelakeu di lem bacoan di unggak diantarono bapak mak sidei sittei jamo abang adik,pelaku dalam bacaan di atas diantaranya papa mama kakek nenek juga abang adik
kedo si layin fonem?,mana yang bukan fonem ?
kedo si ngerupaken fonem?,mana yang merupakan fonem ?
abah nyakkul di sawah,abah mencangkul di sawah
udo mandei di way balak,udo mandi di sungai
mulei ino calak,gadis itu cantik
ayah ngebaco kuran,ayah membaca koran
ali lapah dak sekulah,ali pergi ke sekolah
ayah ngebajak sawah,ayah membajak sawah
aminah nulis surat pakai jamono,aminah menulis surat untuk temannya
ayah ngebaco kuran di ruang tameu,ayah membaca koran di ruang tamu
mulei ino ngebelei kawai,gadis itu membeli baju
udo mandei di way balak,udo mandi di sungai
di lem bacoan prosa deskripsei lingkungan keluargo kato si ngunoke huruf iyolah,di dalam bacaan prosa deskripsi tentang lingkungan keluarga kata yang menggunakan huruf ialah
"di lem wacano lingkungan keluargo wat bapak,mak,sidei,sittei,jamo kemaman keminan","di dalam wacana lingkungan keluarga ada papa , mama , kakek , nenek dan paman bibi"
"ghadeu gham ngebaco , wacano tentang lingkungan keluargo kughuk wacano prosa deskripsi","setelah kita membaca , wacana tentang lingkungan keluarga termasuk wacana prosa deskripsi"
"ghadeu gham nengei , menikmatei , memahamei dan menghayatei karyo seni sai diyau apresiasi","setelah kita mendengar , menikmati , memahami dan menghayati karya seni disebut apresiasi"
bettuk sastra si terdirei jamo aturan geggegh wat  jumlah sukeu kato tiap baris,bentuk sastra yang terdiri dengan aturan sama ada jumlah suku kata tiap baris
"wat baris tiap bait , wat sajak , irama diyau prosa","ada baris tiap bait , ada sajak , irama disebut prosa"
lagei nyo mak?,sedang apa mak ?
lagei nyo sekam mak?,sedang apa anda mak ?
lagei nyo sekam yah?,sedang apa anda pak ?
pak lagey nyo sekam?,pak sedang apa anda ?
lagey nyo sekam?,sedang apa engkau ?
pak ikam lapah pay yeu,pak hamba pergi dulu ya
"dik, ikam lapah pay yeu","dik , saya pergi dulu ya"
"hai serundo, tiyengke nyo si ago ikam tiggeghke jamo mettei","hai kawan-kawan , dengarkan apa yang ingin saya sampaikan kepada kalian"
lagey nyo kemaman?,sedang apa paman ?
"hadi cawo jamo ranto jamo haris , mettei wo mejjeng pay !","hadi berkata dengan ranto teman haris , kalian berdua duduk dulu !"
"ani cawo jamo jamo-jamono , ikam killui supayo mettei meggegh !","ani berkata dengan teman-temannya , saya minta supaya kalian datang !"
"siti cawo jamo gureuno , bu sekam ago dak kedo !","siti berkata dengan gurunya , bu anda mau ke mana ?"
chandra ago sekulah,chandra mau sekolah
"yo cawo jamo ayahno , ayah ikam ago sekulah permisei !","dia berkata dengan ayahnya , ayah hamba mau sekolah permisi !"
"kinanti tunggo riyanti cawono,sebrai riyanti tunggeu ikam !","kinanti bertemu riyanti katanya , sebentar riyanti tunggu saya !"
"ali tunggo alif cawono , lagey nyo nikeu lif ?","ali bertemu alif katanya , sedang apa kau lif ?"
ago dak kedo bu?,mau ke mana bu ?
ibu ago kinyawan piring,ibu ingin mencuci piring
adik mejjamuk bukeu di lemarei,adik menyimpan buku di lemari
keminan nettek jakkul makai sekin,bibi mengiris bawang nmenggunakan pisau
ayah nettek batang puttei jamo cughik,ayah menebang pohon pisang dengan parang
sapi naghik gerubak dak umo,sapi menarik gerobak ke ladang
gerubak ditarik sapei,gerobak ditarik sapi
"bapakno ngelulih anak no,lagey nyo nikeu nak?","bapaknya menanyakan anaknya , sedang apa kau nak ?"
"lulih hasan jamo gureuno,sekam ago dak kedo pak?","tanya hasan dengan gurunya , anda mau ke mana pak ?"
"pak , ikam lapah pay ya , cawo rudi jamo bapakno","pak , saya berangkat dulu ya , berkata rudi dengan bapaknya"
"ali cawo jamo hasan jamono husin , ago dak kedo mettei ?","ali berkata dengan hasan teman husin , mau ke mana kalian ?"
lageu sanak-sanak berisei hal-hal si wat kaitanno jamo sanak-sanak,lagu anak-anak berisi hal-hal yang ada kaitannya dengan anak-anak
cutteu lageu sanak-sanak iyolah bekebun,contoh lagu anak-anak adalah berkebun
lageu sanak-sanak biasono dinyanyiken jamo perasoan illing,lagu anak-anak biasanya dinyanyikan dengan perasaan gembira
tinuk kebunkeu latap jamo kembang,lihat kebunku penuh dengan bunga
wat si andak wat si suluh,ada yang putih ada yang merah
unggal panas ku sigham unyenno,setiap hari ku siram semua
mawar melatei unyenno indah,mawar melati semuanya indah
"mak, ago dak juyew","bu , ani mau ke belakang"
"ani cawo jamo bu gureu , bu , ikam ago dak juyeu","ani berkata kepada bu guru , bu , hamba mau ke belakang"
"pak , ani ago dak kelas lambik , ikam ago nginjam kamus","pak , ani mau ke kelas sebelah , hamba mau meminjam kamus"
"permisei pak , ikam wat perleu jamo jamono ikam , ago nginjam kamus","permisi pak , hamba ada perlu kepada teman hamba , mau meminjam kamus"
"terimo kasih pak,ikam permisei pay salamlikum","terima kasih pak , hamba permisi dulu salamlikum"
pak permisei ikam ago dak depan ago nginjam mistar,pak permisi hamba mau ke depan mau meminjam penggaris
"bu , ikam ago dak makam , ikam ago tumbuk ibu ikam","bu , hamba mau ke makam , hamba mau menemui ibu hamba"
"pak, ikam permisei pay ago mulang","pak , hamba permisi dulu mau pulang"
"haduh betteng ikam sakik pak,permisei pay","aduh perut hamba sakit pak , permisi dulu"
"bu , ikam permisei ago ngakuk balsem di ruang uks","bu , hamba permisi mau mengambil balsem di ruang uks"
ago dak warung koperasi sekulah ikam ago belei pulpen,mau ke warung koperasi sekolah hamba mau beli pulpen
"budi ngangkat pungeu sambil cawo , pak permisei ikam ago dak depan","budi mengangkat tangan sambil berkata , pak permisi saya mau ke depan"
sanak sai males,anak yang males
"di suateu anek ughiklah sai sanak gelaghno lames , yo males keliwat","di suatu kampung hiduplah satu anak namanya lames , dia males banget"
sehari-harino cuman mejjeng-mejjeng gaweh,sehari-harinya hanya duduk-duduk saja
lames mak ago nulung ulun tuhono si kak ngebalakkeno,lames tidak mau menolong orang tuanya yang sudah membesarkannya
anjak yo lahir tigeh tano seharusno yo kak kelas wo sd,dari dia lahir sampai sekarang seharusnya dia sudah kelas dua sd
umurno tano kak puluh tahun,umurnya sekarang sudah sepuluh tahun
tano yo pagun di kelas sateu ulah makket cakak kelas tigo kalei,sekarang dia tetap di kelas satu karena tidak naik kelas tiga kali
yo mak cakak kelas ulah males bigo,dia tidak naik kelas karena kemalesannya
yo mak ago belajagh samo sekalei nyolagei ngajei,dia tidak mau belajar sama sekali apalagi mengaji
jamo-jamono seghadeu sembahyang maghrib lapah dak gureu ngajei,teman-temannya setelah solat magrib berangkat ke guru mengaji
tiyan belajagh ngajei,mereka belajar mengaji
sedangke lames males yo mejjeng-mejjeng gaweh di nuwono,sedangkan lames males dia duduk-duduk saja di rumahnya
keduo ulun tuhono bingung nyo caronyo ngerubah kemalesan si lames,kedua orang tuanya bingung apa caranya merubah kemalesan si lames
lames ino sanak sai-sai no,lames itu anak satu-satu nya
"lamun mak dikenei, pandaino singut kalo-kalo miwang","kalau tidak dikasih , pandai dia mengambek kadang-kadang menangis"
gehino kelakuanno sanak si males si nyusahken ulun tuho,begitulah kelakuannya anak yang males yang menyusahkan orang tua
makko rasan mejjeng-mejjeng gaweh,tidak ada kerjaan hanya duduk-duduk saja
yo munih dijawehi jamo-jamono ulah tiyan mak illing jamo sanak si males,dia juga dijauhi teman-temannya karena mereka tidak suka dengan anak yang males
lingkungan keluargo,lingkungan keluarga
kenahanno lingkungan keluargo ino perleu gham pahamei,tampaknya lingkungan keluarga itu perlu kita pahami
"mulai anjak ayah gham , ibu gham , sidei sittei gham , abang jamo adik si wat di lingkungan ","mulai dari ayah kita , ibu kita , kakek nenek kita , abang dengan adik yang ada di lingkungan "
keluargo gham,keluarga kita
matei biyakno tugas ayah gham si sehar3i-hareino nyesak nafkah pakai nyukupei keperluan gham,alangkah beratnya tugas ayah kita yang sehari-harinya mencari nafkah untuk mencukupi keperluan kita 
